id,X4,X11,X18,X26,X50,X3112
154220505,1.0779033,147.10764,19690.316,3491.6772,14.998154,399666.75
195736552,1.0302318,148.93225,19688.2,3478.0251,14.95564,398968.1
182701773,0.9328755,152.31651,19685.625,3459.4277,14.903383,398194.5
27688500,1.0201287,145.39124,19685.215,3464.1401,15.415275,398021.8
195825045,0.9567299,148.47015,19684.2,3455.9854,15.103436,398144.3
90218281,1.0720286,143.41092,19688.164,3468.558,15.344325,398535.84
184784126,1.1262176,145.85516,19688.793,3467.1663,15.127063,399086.16
196505896,0.9950446,147.48235,19685.543,3460.869,14.788521,398487.4
190205411,1.0641496,142.96118,19687.688,3468.293,15.195836,398787.2
193155678,0.95006514,150.41403,19684.57,3456.2046,15.068149,397779.
196236454,1.0595887,147.53091,19688.03,3466.115,15.187003,399449.75
88250214,1.0026125,149.74776,19686.094,3457.4478,14.791044,399250.7
191944528,1.0351877,145.93199,19687.914,3468.6953,15.141888,398841.
195493725,1.0369341,148.33952,19688.2,3473.421,15.061111,399596.3
70134978,1.0359478,146.80647,19686.164,3457.1958,15.206802,397941.2
133890184,1.0506877,146.49498,19685.488,3460.8862,15.321871,398539.6
68444641,1.0542449,144.57327,19687.398,3476.577,15.2648535,399097.84
192180569,1.1454109,142.688,19687.24,3464.7039,15.214526,398347.25
196586748,0.97311485,151.97156,19685.803,3466.1182,15.01089,398664.4
195485068,1.1029019,151.67209,19689.387,3484.6914,14.883081,399609.75
195545760,1.0004599,147.06439,19686.54,3464.0137,15.152448,398229.62
189067868,1.050911,149.13446,19690.148,3485.0757,15.059308,398946.7
131023803,0.9504534,150.58134,19685.008,3450.4639,14.970125,398473.94
194368572,0.9516498,150.4076,19684.668,3456.517,15.070322,398923.03
189725896,0.9457785,149.73499,19686.191,3456.979,14.98964,398317.06
173252815,0.95974123,150.21841,19685.393,3459.721,14.865857,398551.56
195533521,0.99409103,146.6487,19687.21,3459.9978,15.082067,399195.47
195745232,0.94139266,151.20033,19684.64,3460.11,14.966811,398383.75
167228481,1.0063677,146.43147,19688.418,3470.359,14.890926,398852.6
95065732,1.0137049,147.97598,19688.84,3466.5767,15.019417,399457.8
195765481,0.9551786,151.64517,19686.06,3456.245,14.730468,398750.62
196106550,0.9720601,150.13094,19686.352,3459.532,14.931793,398656.25
164667216,1.0573609,143.01462,19685.363,3457.4956,15.352209,398014.72
196427019,0.9776101,148.1854,19686.43,3461.3625,15.120252,398839.5
106805402,1.0668343,147.0732,19691.434,3493.601,14.907048,400074.4
195791417,1.1005418,144.0787,19687.,3457.8813,15.166096,398448.75
139349381,0.9760637,147.68536,19685.754,3455.8262,14.77966,398586.7
193429351,1.001725,150.54497,19686.72,3473.5586,15.247655,399515.97
194639882,0.9966258,149.75624,19687.46,3470.374,15.248183,398689.25
153077808,0.949162,149.77226,19687.21,3465.7427,15.123464,398310.4
175180283,0.9568083,149.23814,19685.844,3448.3418,14.948512,398141.38
129383924,1.0461193,146.4845,19690.305,3489.1946,15.035631,399618.
194749428,0.97353685,148.75583,19685.783,3460.3447,14.856072,398572.7
194821149,0.9770043,151.33966,19685.418,3453.6157,14.95626,398588.3
195656804,1.0151863,142.79222,19686.334,3462.956,15.2178335,398724.2
187922795,1.1288229,145.86038,19689.924,3480.1868,15.14763,399285.84
107367396,1.0753185,148.4375,19689.18,3479.0217,15.036752,399239.75
194295516,0.9947653,152.63226,19685.9,3466.8184,15.032659,399480.84
194215752,1.00784,150.90656,19686.957,3468.6758,14.955238,398749.8
195654943,1.042862,148.60643,19687.92,3466.9707,15.113243,398551.94
195782073,1.0153006,146.47287,19687.402,3464.7344,15.050485,399385.7
194674247,1.0054967,148.45047,19687.617,3473.4336,15.046638,399019.12
191473574,0.97378886,149.17606,19684.426,3449.9846,14.777982,397997.5
192538170,1.0958656,148.68329,19689.695,3484.3135,15.013232,399080.22
195641284,1.0588986,148.913,19688.002,3476.8044,14.833185,399566.28
196440360,1.1034375,142.08145,19688.523,3470.276,15.104697,399021.44
189579961,0.999398,152.71994,19686.64,3466.723,15.013814,399062.6
190802025,1.0265539,145.66714,19687.145,3472.1667,15.267863,398379.03
154829076,1.0655886,144.76617,19688.941,3475.6104,15.076406,399166.7
194392430,0.98118067,148.02725,19685.61,3459.7732,14.966733,398369.
192947182,1.0424709,146.87878,19687.242,3464.539,15.229618,398386.
196310338,0.92873096,147.43274,19685.068,3455.4426,15.131702,397908.44
193286786,1.0435381,146.08878,19686.482,3469.7546,15.31684,399284.4
194510869,0.9740037,151.72272,19686.496,3456.5098,14.749143,398656.03
173826881,0.9563625,147.95941,19686.12,3457.7068,14.992839,398168.25
194304021,0.94855964,149.6499,19685.746,3456.0552,15.029142,398752.22
89161125,0.9530988,150.60728,19684.928,3454.6172,14.921912,398518.8
195549456,1.0924525,143.93338,19689.36,3477.0933,15.18239,398989.88
188245542,1.1014725,142.19794,19686.8,3467.1902,15.32461,398792.
